rank;title;artist;genre
1;Alamak;Rizky Febian;pop
2;Bintang 5;Tenxi;hip hop
3;Who Knows;Daniel Caesar;r&b
4;TABOLA BALE;Silet Open Up;hip hop
5;everything u are;Hindia;indie
6;bittersweet;Madison Beer;pop
7;Terbuang Dalam Waktu;Barasuara;indie
8;Tarot;.Feast;indie
9;Orang Baru Lebe Gacor;Ecko Show;hip hop
10;Awal Kisah Selamanya (feat. Barsena Bestandhi);Raisa;pop
11;Kacamata;Afgan;pop
12;33x;Perunggu;indie
13;bergema sampai selamanya;Nadhif Basalamah;indie
14;Kasih Aba Aba;Naykilla;hip hop
15;Tetap Bukan Kamu (feat. Rony Parulian);Raisa;pop
16;mejikuhibiniu;Tenxi;hip hop
17;The Fate of Ophelia;Taylor Swift;pop
18;Kasih Putih;Glenn Fredly;pop
19;Lihat Kebunku (Taman Bunga);Aku Jeje;jazz
20;JUMP;BLACKPINK;pop
21;WILDFLOWER;Billie Eilish;pop
22;So Easy (To Fall In Love);Olivia Dean;pop
23;You'll Be In My Heart;NIKI;r&b
24;Nina;.Feast;indie
25;Terserah;Raisa;pop
26;Opalite;Taylor Swift;pop
27;Cincin;Hindia;indie
28;Pikiran Yang Matang;Perunggu;indie
29;o,Tuan;.Feast;indie
30;Lampu Kuning;Juicy Luicy;pop
31;Lesung Pipi;Raim Laode;pop
32;Soulmate;Kahitna;pop
33;Titik Nadir (feat. Monita Tahalea);Kahitna;pop
34;back to friends;sombr;indie
35;Mangu (feat. Charita Utami);Fourtwnty;indie
36;SO ASU;Naykilla;hip hop
37;Manchild;Sabrina Carpenter;pop
38;Man I Need;Olivia Dean;pop
39;Wi$h Li$t;Taylor Swift;pop
40;Kita Ke Sana;Hindia;indie
41;Golden;HUNTR/X;pop
42;About You;The 1975;pop
43;hoRRReg;Tenxi;hip hop
44;BIRDS OF A FEATHER;Billie Eilish;pop
45;Backburner;NIKI;r&b
46;Rumah Ke Rumah;Hindia;indie
47;Multo;Cup of Joe;pop
48;Stuck with U;Ariana Grande;pop
49;like JENNIE;JENNIE;pop
50;ours to keep (feat. ADIS);Kendis;pop
51;Adu Rayu;Yovie Widianto;pop
52;Calon Mantu Idaman (feat. Ncum);Rombongan Bodonk Koplo;hip hop
53;Tanpa Cinta;Yovie Widianto;pop
54;Kalibata, 2012;Perunggu;indie
55;Bawa Dia Kembali;Mahalini;pop
56;Lantas;Juicy Luicy;pop
57;Ini Abadi;Perunggu;indie
58;Salahi Aku (Ku Jatuh Cinta Lagi);Yovie Widianto;pop
59;Let Down;Radiohead;rock
60;Sedia Aku Sebelum Hujan;Idgitaf;pop
61;Sialan;Adrian Khalif;pop
62;semua lagu cinta terdengar sama;Hindia;indie
63;ocean eyes;Billie Eilish;pop
64;Die With A Smile;Lady Gaga;pop
65;Garam & Madu (Sakit Dadaku);Tenxi;hip hop
66;All Too Well (10 Minute Version) [Taylor's Version] [From The Vault];Taylor Swift;country
67;Pesan Terakhir;Lyodra;pop
68;Membasuh (feat. Rara Sekar);Hindia;indie
69;Aku Milikmu;Dewa 19;pop
70;Pastikan Riuh Akhiri Malammu;Perunggu;indie
71;My Everything;Ariana Grande;pop
72;Perfect;Ed Sheeran;pop
73;Cinta Dan Rahasia (feat. Glenn Fredly);Yura Yunita;pop
74;The Man Who Can't Be Moved;The Script;pop
75;FOCUS;Hearts2Hearts;pop
76;Folded;Kehlani;r&b
77;Pengganti Aku;Raisa;pop
78;7 rings;Ariana Grande;pop
79;Tak Ada Ujungnya;Rony Parulian;pop
80;One in a Million (Reggae Cover);Monair B;soul
81;thank u, next;Ariana Grande;pop
82;Berdansalah, Karir Ini Tak Ada Artinya;Hindia;indie
83;Gabriela;KATSEYE;pop
84;Satu Bulan;Bernadya;pop
85;Always;Daniel Caesar;soul
86;Siapkah Kau 'Tuk Jatuh Cinta Lagi;HIVI!;pop
87;Kesempurnaan Cinta;Rizky Febian;pop
88;Hati-Hati di Jalan;Tulus;pop
89;XXL;LANY;pop
90;That’s So True;Gracie Abrams;folk
91;Malapetaka;Juicy Luicy;pop
92;CHANEL;Tyla;r&b
93;Monolog;Pamungkas;indie
94;Usai Di Sini;Raisa;pop
95;One Last Time;Ariana Grande;pop
96;Snooze;SZA;r&b
97;Anugerah Terindah;Andmesh;pop
98;Aku Dah Lupa;MikkyZia;hip hop
99;Stecu Stecu;Faris Adam;hip hop
100;Bila Kau Tak Disampingku;Sheila On 7;pop
